股票代码,股票名称,最新价,总市值,每股收益,总资产,总负债,股东权益合计,净利润同比,营收同比率,总营收,总利润,净利润,净资产收益率-ROE,成交量-手,市盈率-动态,流动比率,速动比率
601567,三星医疗,15.24,211.3亿,0.120,139.25亿,52.43亿,86.82亿,-18.11,0.55,13.89亿,2.13亿,1.70亿,1.98,38.16万,31.08,1.512,1.349
600330,天通股份,12.06,120.2亿,0.107,73.76亿,26.70亿,47.06亿,5.80,66.35,8.51亿,1.17亿,1.05亿,2.24,99.22万,28.70,1.466,1.050
600163,中闽能源,5.32,89.87亿,0.103,106.22亿,66.84亿,39.38亿,117.95,72.40,3.81亿,2.10亿,1.73亿,4.68,33.73万,12.96,1.240,1.228
002837,英维克,25.31,81.56亿,0.100,29.29亿,14.92亿,14.37亿,195.62,57.53,3.42亿,3496.91万,3114.21万,2.19,2.61万,65.47,1.618,1.203
000027,深圳能源,8.63,410.6亿,0.099,1201.33亿,749.14亿,452.18亿,124.53,59.34,56.98亿,6.45亿,4.71亿,1.74,51.19万,13.31,1.191,1.143
300880,迦南智能,21.66,34.66亿,0.096,9.60亿,3.01亿,6.59亿,34.88,47.61,7892.52万,1836.67万,1533.53万,2.35,2.09万,56.51,2.829,2.610
603556,海兴电力,12.80,62.55亿,0.090,70.82亿,16.48亿,54.34亿,-25.62,1.41,4.58亿,5534.06万,4498.28万,0.83,16.99万,34.76,3.781,3.429
603050,科林电气,15.79,25.61亿,0.090,30.35亿,17.87亿,12.48亿,4.01万,74.88,2.23亿,1718.04万,1415.58万,1.16,21.45万,45.23,1.594,1.127
603012,创力集团,5.71,36.35亿,0.090,56.79亿,23.93亿,32.86亿,8.82,-10.67,3.34亿,7380.65万,5442.84万,1.85,4.26万,16.70,1.891,1.441
002255,海陆重工,4.08,34.36亿,0.089,50.61亿,21.07亿,29.54亿,114.92,69.72,3.53亿,8249.27万,7522.25万,2.60,11.59万,11.42,1.590,1.034
002882,金龙羽,8.79,38.05亿,0.088,25.93亿,6.06亿,19.86亿,564.74,70.02,6.74亿,4603.47万,3799.24万,1.93,1.86万,25.04,3.631,2.380
000400,许继电气,13.99,141.1亿,0.082,162.45亿,69.52亿,92.93亿,31.44,77.36,18.15亿,1.13亿,8266.83万,0.95,51.19万,42.66,2.212,1.780
600297,广汇汽车,2.76,223.9亿,0.080,1383.45亿,904.72亿,478.74亿,-,64.92,422.27亿,10.78亿,6.51亿,1.59,64.10万,8.59,1.186,0.903
002594,比亚迪,291.18,8331亿,0.080,2237.93亿,1347.93亿,890.00亿,110.73,108.31,409.92亿,6.56亿,2.37亿,0.31,62.23万,877.49,1.241,0.908
600098,广州发展,6.45,175.8亿,0.075,492.14亿,277.02亿,215.12亿,72.33,43.23,89.90亿,2.20亿,2.00亿,1.10,12.43万,22.02,0.990,0.748
002911,佛燃能源,8.79,83.08亿,0.075,116.94亿,69.19亿,47.76亿,36.61,81.99,21.19亿,1.21亿,7097.64万,2.10,1.45万,16.19,0.746,0.709
000009,中国宝安,22.26,574.1亿,0.074,322.33亿,186.57亿,135.76亿,373.43,128.15,37.15亿,4.46亿,1.90亿,2.72,100.18万,75.44,1.765,1.016
002090,金智科技,9.29,37.56亿,0.074,29.10亿,15.39亿,13.71亿,288.52,19.52,3.55亿,3671.16万,2973.33万,2.21,10.04万,31.58,1.594,1.409
000903,云内动力,3.60,70.95亿,0.072,155.72亿,97.19亿,58.53亿,28.41,42.29,24.41亿,1.58亿,1.38亿,2.39,23.55万,12.84,1.101,0.858
300351,永贵电器,9.18,35.22亿,0.071,24.75亿,4.21亿,20.54亿,9.11,11.50,2.00亿,2805.14万,2742.07万,1.37,6.38万,32.11,4.904,3.927
002706,良信股份,21.42,218.3亿,0.063,36.80亿,16.68亿,20.12亿,40.74,60.73,7.18亿,7388.95万,6403.40万,3.04,9.68万,85.23,1.366,1.045
002452,长高集团,5.67,30.30亿,0.062,35.52亿,20.51亿,15.01亿,41.15,28.48,2.64亿,4058.32万,3336.64万,2.27,7.03万,22.70,1.286,0.995
300040,九洲集团,9.15,48.74亿,0.061,72.63亿,48.34亿,24.29亿,105.39,88.91,3.68亿,4255.33万,3260.37万,1.38,76.42万,37.37,1.939,1.754
300960,通业科技,30.85,31.59亿,0.060,9.20亿,2.83亿,6.36亿,206.93,18.07,4736.42万,542.85万,452.94万,1.17,7.68万,174.34,3.653,3.103
002346,柘中股份,18.47,81.56亿,0.060,26.24亿,5.15亿,21.09亿,-,41.94,1.27亿,2465.86万,2452.79万,1.17,6.13万,83.13,1.790,1.471
002249,大洋电机,6.61,156.4亿,0.060,143.09亿,54.77亿,88.32亿,459.51,44.90,22.08亿,1.60亿,1.30亿,1.52,106.80万,29.96,1.991,1.441
002488,金固股份,5.97,59.81亿,0.060,63.97亿,25.83亿,38.14亿,-,-8.03,4.61亿,8896.87万,6221.97万,1.67,18.16万,24.03,0.928,0.538
600869,远东股份,5.18,115.0亿,0.054,179.40亿,145.32亿,34.09亿,-,48.78,37.67亿,1.46亿,1.20亿,3.69,43.58万,24.01,0.939,0.775
002927,泰永长征,9.84,22.01亿,0.050,12.41亿,3.12亿,9.30亿,25.73,70.96,1.76亿,1488.67万,1088.11万,1.27,1.85万,50.57,3.271,2.554
600277,亿利洁能,3.55,97.23亿,0.050,365.29亿,172.61亿,192.68亿,26.79,9.71,29.30亿,1.90亿,1.41亿,1.01,31.71万,17.25,0.978,0.948
002334,英威腾,7.28,54.85亿,0.049,30.90亿,13.69亿,17.21亿,757.55,79.11,5.79亿,3804.65万,3711.02万,2.14,98.12万,36.95,1.802,1.344
002519,银河电子,3.97,44.72亿,0.048,38.85亿,9.98亿,28.88亿,20.33,44.58,4.55亿,6793.01万,5421.67万,1.91,11.56万,20.62,2.692,1.922
300682,朗新科技,21.01,214.7亿,0.048,73.16亿,18.74亿,54.42亿,40.95,61.69,6.01亿,5176.23万,4910.66万,0.89,27.43万,109.32,4.474,4.099
300712,永福股份,106.05,193.1亿,0.047,22.51亿,12.00亿,10.51亿,5.08,2.84,2.02亿,488.72万,862.95万,0.84,10.84万,559.48,1.595,1.456
601727,上海电气,4.33,680.1亿,0.042,3129.10亿,2033.37亿,1095.73亿,482.68,73.84,255.63亿,10.69亿,6.61亿,0.96,257.23万,25.70,1.297,1.095
300414,中光防雷,13.98,45.46亿,0.041,10.76亿,1.66亿,9.10亿,-9.36,72.03,9777.75万,1287.90万,1326.06万,1.46,55.78万,85.71,5.949,4.993
300882,万胜智能,15.50,31.69亿,0.041,10.36亿,2.15亿,8.21亿,-23.92,9.95,7143.32万,1065.77万,845.60万,1.04,3.15万,93.68,4.019,3.871
002074,国轩高科,54.92,703.3亿,0.040,282.26亿,171.32亿,110.94亿,42.49,77.09,12.92亿,4765.21万,4791.83万,0.44,72.22万,366.91,1.383,1.082
