股票代码,股票名称,最新价,总市值,每股收益,总资产,总负债,股东权益合计,净利润同比,营收同比率,总营收,总利润,净利润,净资产收益率-ROE,成交量-手,市盈率-动态,流动比率,速动比率
603087,甘李药业,74.18,416.6亿,0.340,96.47亿,5.19亿,91.28亿,54.39,16.75,5.49亿,2.38亿,1.90亿,2.10,5.80万,54.79,18.90,17.10
603939,益丰药房,48.69,350.0亿,0.336,157.60亿,84.80亿,72.79亿,29.39,19.09,36.30亿,3.61亿,2.41亿,4.17,5.83万,36.26,1.312,0.925
600196,复星医药,82.39,2112亿,0.330,866.14亿,396.24亿,469.90亿,46.78,37.00,80.56亿,11.45亿,8.47亿,2.27,74.30万,62.31,1.055,0.855
688363,华熙生物,225.10,1080亿,0.320,60.52亿,8.76亿,51.76亿,41.05,111.12,7.77亿,1.89亿,1.52亿,2.99,4.46万,177.25,7.103,6.116
300759,康龙化成,207.23,1646亿,0.310,127.62亿,36.10亿,91.52亿,142.20,55.28,14.89亿,2.82亿,2.46亿,2.73,5.60万,167.38,2.203,2.065
688217,睿昂基因,77.06,42.83亿,0.295,7.28亿,5031.65万,6.77亿,907.46,51.84,6477.10万,1662.30万,1638.35万,2.50,7939,65.35,10.39,9.532
603658,安图生物,63.30,371.1亿,0.292,80.68亿,13.27亿,67.41亿,84.15,48.44,8.17亿,1.93亿,1.71亿,2.61,5.36万,54.10,4.873,4.391
300119,瑞普生物,25.42,102.8亿,0.288,41.48亿,12.90亿,28.58亿,59.11,23.35,5.60亿,1.53亿,1.16亿,4.63,7.13万,22.09,1.818,1.449
600329,中新药业,26.93,208.3亿,0.280,88.01亿,26.32亿,61.69亿,25.34,10.32,18.27亿,2.48亿,2.13亿,3.60,7.97万,24.46,2.476,1.899
002462,嘉事堂,12.74,37.16亿,0.280,140.51亿,86.18亿,54.33亿,60.51,43.51,58.11亿,2.02亿,8182.91万,2.23,1.71万,11.35,1.492,1.216
600216,浙江医药,15.92,153.6亿,0.280,109.50亿,26.65亿,82.86亿,79.78,49.98,24.00亿,3.01亿,2.67亿,3.42,50.48万,14.39,2.432,1.773
600062,华润双鹤,11.19,116.7亿,0.274,132.45亿,31.27亿,101.18亿,4.09,10.34,24.08亿,3.61亿,2.86亿,3.03,3.90万,10.20,2.855,2.293
603896,寿仙谷,42.78,64.86亿,0.272,18.08亿,3.93亿,14.15亿,25.67,31.12,1.74亿,4117.17万,4123.34万,3.03,1.01万,39.33,4.950,4.316
600993,马应龙,25.93,111.8亿,0.270,40.01亿,9.37亿,30.64亿,7.21,156.87,8.61亿,1.42亿,1.17亿,4.04,12.48万,23.83,4.231,3.852
002653,海思科,20.58,221.1亿,0.267,51.41亿,19.23亿,32.18亿,123.76,23.68,7.28亿,4.67亿,2.87亿,9.43,3.48万,19.24,1.717,1.526
603520,司太立,43.24,105.9亿,0.260,43.15亿,23.69亿,19.46亿,41.43,24.90,3.64亿,7930.67万,6457.15万,3.47,5.54万,41.00,1.393,1.006
600422,昆药集团,9.41,71.35亿,0.257,81.20亿,33.14亿,48.06亿,112.24,20.92,18.95亿,2.37亿,1.95亿,4.28,10.44万,9.15,1.903,1.270
688621,阳光诺和,76.27,61.02亿,0.257,4.22亿,2.07亿,2.14亿,19.01,29.82,9577.08万,2474.19万,2053.48万,10.30,5514,74.28,1.446,1.413
002773,康弘药业,18.95,174.2亿,0.254,70.87亿,10.98亿,59.89亿,32.29,44.54,9.15亿,2.54亿,2.34亿,3.35,9.76万,18.64,4.666,4.388
300642,透景生命,64.50,58.74亿,0.253,13.80亿,8821.31万,12.92亿,-,310.20,1.19亿,2368.57万,2300.94万,1.03,1.38万,63.82,11.97,9.352
300878,维康药业,46.70,37.57亿,0.252,16.13亿,2.08亿,14.05亿,28.86,7.74,1.32亿,2379.38万,2027.27万,1.46,5575,46.32,5.732,5.189
600750,江中药业,12.15,76.55亿,0.250,50.58亿,6.45亿,44.13亿,21.25,28.97,6.77亿,1.90亿,1.59亿,4.03,15.35万,12.01,5.954,5.560
603367,辰欣药业,12.76,57.85亿,0.240,60.70亿,11.59亿,49.10亿,2.55,6.21,8.74亿,1.19亿,1.09亿,2.24,4.87万,13.31,3.501,2.907
300630,普利制药,44.82,195.9亿,0.240,39.88亿,15.75亿,24.13亿,51.40,60.03,2.73亿,1.23亿,1.21亿,5.61,3.12万,40.39,2.589,2.416
300294,博雅生物,52.86,229.1亿,0.240,50.05亿,7.09亿,42.96亿,5.04,2.38,6.24亿,1.24亿,1.01亿,2.42,12.45万,56.85,4.166,3.128
300519,新光药业,18.52,29.63亿,0.240,9.29亿,6283.19万,8.66亿,42.77,35.83,9612.31万,4586.72万,3898.12万,4.61,6.89万,19.00,15.01,14.36
600276,恒瑞医药,55.25,3535亿,0.234,361.57亿,36.85亿,324.72亿,13.77,25.37,69.29亿,17.73亿,14.97亿,4.78,60.41万,59.05,8.460,7.869
600085,同仁堂,35.18,482.5亿,0.232,236.91亿,76.55亿,160.36亿,33.24,22.33,37.06亿,5.98亿,3.18亿,3.19,17.12万,37.88,2.870,1.917
688136,科兴制药,35.17,69.88亿,0.230,23.31亿,4.54亿,18.77亿,-45.49,-19.81,2.77亿,5263.11万,4656.50万,2.51,2.60万,37.52,5.230,4.774
300942,易瑞生物,36.42,146.0亿,0.230,9.99亿,1.88亿,8.11亿,150.10,103.46,1.47亿,1.02亿,8761.04万,13.46,10.48万,41.66,6.682,5.967
688656,浩欧博,61.49,38.77亿,0.230,7.83亿,6694.99万,7.16亿,-,199.47,6099.04万,1459.93万,1333.65万,2.45,6692,72.68,11.53,10.38
603707,健友股份,30.62,372.6亿,0.224,86.40亿,46.16亿,40.24亿,33.51,20.28,8.83亿,3.14亿,2.73亿,6.82,4.17万,34.13,2.221,0.856
605177,东亚药业,31.86,36.19亿,0.220,21.39亿,3.85亿,17.54亿,239.76,30.91,1.90亿,3013.92万,2454.00万,1.41,5387,36.87,,
002873,新天药业,17.14,20.08亿,0.217,15.26亿,6.87亿,8.39亿,714.60,113.84,2.15亿,3028.30万,2536.64万,3.04,1.29万,19.79,1.520,1.323
600420,国药现代,9.36,96.12亿,0.215,191.77亿,90.67亿,101.10亿,62.98,18.94,39.29亿,3.44亿,2.21亿,2.68,4.63万,11.28,1.632,1.122
600535,天士力,12.85,194.4亿,0.215,164.35亿,37.79亿,126.56亿,9.53,-55.37,17.64亿,3.77亿,3.23亿,2.66,14.05万,15.05,3.224,2.702
002864,盘龙药业,22.36,19.38亿,0.207,12.16亿,4.72亿,7.44亿,80.29,115.39,1.75亿,2183.62万,1773.89万,2.45,7753,27.31,2.329,2.158
002728,特一药业,12.15,24.74亿,0.205,20.22亿,9.00亿,11.22亿,81.78,10.78,1.94亿,5032.25万,4166.95万,3.78,2.98万,14.84,1.152,0.837
002393,力生制药,20.11,36.69亿,0.200,50.61亿,7.24亿,43.37亿,5.26,-1.52,3.28亿,4379.13万,3605.45万,0.83,1.44万,25.44,4.547,4.075
300434,金石亚药,10.21,41.02亿,0.200,26.02亿,4.64亿,21.38亿,300.56,81.18,3.77亿,9179.00万,7890.31万,2.85,7.39万,13.00,2.509,1.984
300705,九典制药,26.85,63.01亿,0.200,12.14亿,3.32亿,8.82亿,553.18,73.31,2.78亿,5446.30万,4644.75万,5.41,5.97万,33.92,2.684,1.783
600056,中国医药,10.99,117.4亿,0.199,329.07亿,204.24亿,124.83亿,-19.35,14.52,85.72亿,3.58亿,2.13亿,2.11,6.74万,13.79,1.488,1.082
603811,诚意药业,14.27,33.36亿,0.196,12.27亿,2.95亿,9.32亿,87.16,12.76,1.71亿,5360.22万,4583.98万,5.11,2.30万,18.19,1.439,0.857
002287,奇正藏药,28.46,150.9亿,0.195,44.08亿,16.67亿,27.41亿,112.26,113.97,3.26亿,1.14亿,1.03亿,3.87,4.08万,7.63,4.931,4.774
002675,东诚药业,18.72,150.2亿,0.193,75.13亿,25.38亿,49.75亿,-29.32,10.93,18.26亿,2.51亿,1.55亿,3.44,7.63万,48.46,1.441,0.956
300406,九强生物,18.52,109.1亿,0.190,40.45亿,4.87亿,35.58亿,780.50,231.58,3.74亿,1.55亿,1.12亿,3.45,6.41万,24.31,8.356,7.242
002755,奥赛康,12.17,113.0亿,0.190,38.38亿,6.29亿,32.10亿,67.35,31.33,9.31亿,2.00亿,1.78亿,5.72,1.60万,15.84,4.890,4.597
600079,人福医药,23.53,384.3亿,0.190,323.72亿,180.34亿,143.39亿,120.22,2.09,46.70亿,5.00亿,3.01亿,2.60,15.97万,31.92,1.403,1.195
002923,润都股份,27.30,50.74亿,0.190,16.25亿,5.50亿,10.75亿,9.61,2.00,3.24亿,3996.22万,3504.37万,3.33,3.57万,39.28,2.681,1.707
600380,健康元,11.93,233.7亿,0.187,285.94亿,87.57亿,198.37亿,31.10,30.05,41.45亿,8.85亿,3.67亿,3.26,17.05万,15.92,2.453,2.221
688076,诺泰生物,55.20,117.7亿,0.186,13.91亿,3.84亿,10.07亿,901.41,258.62,1.66亿,4685.28万,3968.99万,4.03,2.90万,74.12,1.386,0.771
000739,普洛药业,28.13,331.5亿,0.184,80.55亿,34.47亿,46.08亿,40.34,15.63,19.67亿,2.59亿,2.17亿,4.83,5.02万,38.17,1.686,1.362
300813,泰林生物,67.76,35.21亿,0.180,5.47亿,9286.95万,4.54亿,30.64,17.88,4804.32万,1090.08万,959.84万,2.14,4.40万,91.72,4.683,3.803
002107,沃华医药,6.94,40.06亿,0.180,12.36亿,3.67亿,8.69亿,12.21,6.49,5.15亿,1.20亿,1.02亿,12.60,3.58万,19.67,1.976,1.611
603567,珍宝岛,16.96,144.0亿,0.180,101.88亿,45.28亿,56.59亿,22.68,16.89,7.27亿,1.88亿,1.55亿,2.78,2.92万,23.18,2.862,2.316
300966,共同药业,51.65,59.54亿,0.180,8.27亿,2.72亿,5.55亿,-,284.06,1.42亿,1810.72万,1527.74万,2.82,5.39万,97.43,2.363,1.518
688189,南新制药,39.19,54.87亿,0.176,22.85亿,6.35亿,16.50亿,-6.45,-23.00,2.51亿,2508.76万,2467.82万,1.51,1.19万,55.58,3.494,3.370
600521,华海药业,19.00,283.4亿,0.171,129.45亿,59.67亿,69.78亿,15.60,-4.69,14.97亿,3.32亿,2.55亿,3.84,23.76万,27.78,2.376,1.406
300452,山河药辅,14.62,26.38亿,0.170,9.45亿,2.58亿,6.87亿,30.46,37.80,1.72亿,3581.24万,3111.46万,5.18,2.66万,21.20,2.348,2.105
600867,通化东宝,10.90,221.7亿,0.170,61.32亿,3.44亿,57.88亿,21.33,14.52,8.23亿,4.02亿,3.37亿,5.88,29.18万,16.46,7.138,5.526
002275,桂林三金,12.93,76.31亿,0.170,39.98亿,9.40亿,30.58亿,27.19,30.71,4.30亿,1.20亿,9767.22万,3.25,9606,19.53,4.965,4.510
600285,羚锐制药,10.35,58.77亿,0.170,37.70亿,13.38亿,24.32亿,26.19,20.01,5.89亿,1.13亿,9657.73万,4.09,10.60万,15.21,1.749,1.481
000411,英特集团,12.40,30.87亿,0.166,126.64亿,92.57亿,34.07亿,24.19,14.39,64.54亿,1.23亿,4122.50万,2.30,2.06万,18.72,1.414,1.062
300363,博腾股份,93.60,509.3亿,0.162,46.84亿,12.09亿,34.75亿,82.90,38.99,5.43亿,9041.85万,8809.13万,2.57,9.28万,144.53,2.076,1.624
000756,新华制药,8.11,50.88亿,0.160,72.79亿,37.44亿,35.35亿,16.21,3.64,17.68亿,1.29亿,1.00亿,3.04,1.85万,12.68,1.326,0.901
688658,悦康药业,20.87,93.92亿,0.160,52.17亿,15.61亿,36.56亿,93.51,19.22,8.79亿,7834.19万,7019.23万,1.94,1.24万,33.45,2.491,2.050
688687,凯因科技,27.19,46.18亿,0.160,19.03亿,3.05亿,15.99亿,27.97,40.76,1.72亿,2302.17万,2096.43万,2.44,1.37万,55.07,6.478,6.092
603108,润达医疗,10.33,59.87亿,0.158,109.94亿,67.58亿,42.36亿,189.78,58.88,20.64亿,1.87亿,9183.01万,2.83,7.45万,16.30,1.111,0.896
002020,京新药业,7.87,65.93亿,0.154,56.06亿,15.20亿,40.86亿,35.22,3.44,8.21亿,1.46亿,1.29亿,3.25,5.52万,12.74,2.135,1.712
603229,奥翔药业,28.26,81.12亿,0.153,13.82亿,2.11亿,11.71亿,109.15,81.19,1.44亿,4911.17万,4387.85万,3.82,1.37万,46.22,4.620,3.742
688117,圣诺生物,39.90,31.92亿,0.146,6.08亿,1.59亿,4.50亿,15.39,30.47,9328.02万,1331.88万,1165.40万,2.63,8806,68.47,2.328,1.676
300181,佐力药业,7.94,48.32亿,0.142,26.84亿,7.39亿,19.45亿,181.90,49.46,6.98亿,1.06亿,8656.07万,5.12,14.46万,27.91,1.763,1.332
600557,康缘药业,10.45,61.96亿,0.140,59.66亿,16.14亿,43.52亿,4.61,5.27,8.62亿,1.01亿,8399.75万,2.00,3.00万,18.44,1.816,1.570
300683,海特生物,40.14,41.49亿,0.140,21.72亿,4.33亿,17.40亿,241.82,143.97,1.58亿,1795.48万,1452.91万,0.15,8013,71.39,3.714,3.499
688566,吉贝尔,22.52,42.10亿,0.140,17.41亿,1.38亿,16.03亿,7.48,3.04,1.20亿,3103.10万,2697.92万,1.70,4058,39.01,29.32,28.68
300497,富祥药业,10.82,59.51亿,0.140,42.39亿,11.17亿,31.22亿,-11.34,7.60,3.95亿,8858.34万,7430.86万,2.44,5.24万,20.02,2.468,2.204
603079,圣达生物,15.33,26.24亿,0.140,18.25亿,4.78亿,13.47亿,-62.53,-2.34,1.92亿,2488.20万,2338.90万,1.78,1.14万,28.05,2.215,1.799
002294,信立泰,27.22,303.5亿,0.139,69.48亿,12.01亿,57.48亿,3.31,-11.56,7.66亿,1.87亿,1.55亿,2.78,6.60万,48.93,2.209,1.783
002007,华兰生物,37.40,682.3亿,0.138,103.68亿,19.67亿,84.01亿,2.23,-7.99,6.23亿,3.03亿,2.53亿,3.35,23.00万,67.47,3.956,3.243
300357,我武生物,62.51,327.3亿,0.135,16.90亿,9431.59万,15.96亿,70.31,49.31,1.65亿,8088.24万,7045.42万,4.72,4.46万,111.08,18.99,18.22
688276,百克生物,86.30,356.3亿,0.134,24.33亿,5.98亿,18.35亿,11.13,24.12,2.47亿,6472.37万,5542.23万,3.07,1.07万,160.71,1.886,1.552
600200,江苏吴中,8.07,57.49亿,0.133,38.65亿,19.19亿,19.47亿,1158.58,26.69,5.45亿,1.12亿,9495.60万,5.01,21.73万,15.14,1.666,1.579
300233,金城医药,33.05,129.0亿,0.130,50.57亿,15.35亿,35.22亿,-49.66,-6.41,6.09亿,6670.80万,5085.51万,1.47,8.25万,63.41,2.010,1.685
000989,九 芝 堂,9.33,81.11亿,0.126,55.74亿,14.55亿,41.18亿,20.46,28.33,11.46亿,1.36亿,1.07亿,2.66,12.02万,18.93,2.496,2.006
002422,科伦药业,18.37,261.9亿,0.123,317.46亿,176.59亿,140.87亿,701.49,17.35,41.51亿,1.72亿,1.75亿,1.30,14.94万,37.31,1.159,0.878
600267,海正药业,13.39,156.5亿,0.122,199.18亿,128.92亿,70.25亿,-,22.75,30.68亿,2.33亿,1.26亿,1.85,8.29万,31.12,0.701,0.430
688166,博瑞医药,35.30,144.7亿,0.120,21.27亿,6.44亿,14.82亿,42.84,45.42,1.89亿,5452.09万,4860.49万,3.34,3.48万,74.44,3.341,2.558
002880,卫光生物,34.56,78.38亿,0.119,17.72亿,1.22亿,16.51亿,-14.82,-26.82,1.39亿,3186.16万,2698.64万,1.67,7172,72.61,10.43,5.892
603222,济民医疗,13.92,47.43亿,0.117,25.25亿,12.03亿,13.22亿,-,92.53,2.54亿,4848.34万,3994.33万,4.52,4.58万,29.69,1.047,0.909
300584,海辰药业,18.57,22.28亿,0.113,9.09亿,2.17亿,6.92亿,-21.30,-2.39,1.62亿,1463.28万,1350.99万,1.97,8465,41.24,1.667,1.291
603456,九洲药业,46.67,388.6亿,0.113,56.85亿,15.15亿,41.71亿,190.92,118.66,8.56亿,1.12亿,9440.42万,2.49,5.57万,102.90,2.136,1.179
002793,罗欣药业,8.62,126.5亿,0.110,79.71亿,34.52亿,45.18亿,41.02,36.62,17.42亿,1.88亿,1.57亿,3.82,2.10万,20.09,1.905,1.624
600161,天坛生物,38.08,522.9亿,0.110,79.87亿,17.29亿,62.58亿,15.06,11.80,8.47亿,2.63亿,1.52亿,3.30,18.17万,77.03,4.321,2.341
000650,仁和药业,9.85,137.9亿,0.107,65.79亿,7.91亿,57.87亿,45.38,34.08,11.82亿,2.27亿,1.50亿,2.91,37.08万,22.98,4.788,4.305
002019,亿帆医药,13.73,169.4亿,0.107,121.13亿,32.33亿,88.80亿,-59.11,-9.38,12.00亿,1.48亿,1.32亿,1.55,10.52万,32.03,1.850,1.552
300016,北陆药业,8.60,42.38亿,0.102,28.70亿,9.31亿,19.38亿,88.36,76.56,2.22亿,5229.39万,5045.19万,2.86,4.77万,21.00,4.363,3.949
600645,中源协和,19.40,90.78亿,0.100,51.26亿,14.25亿,37.01亿,644.70,32.44,3.67亿,5923.28万,4555.36万,1.30,8.66万,49.82,1.468,1.300
002399,海普瑞,14.98,219.8亿,0.098,193.91亿,75.53亿,118.39亿,-43.80,-9.59,12.68亿,1.82亿,1.43亿,1.23,3.10万,38.30,2.783,1.848
300636,同和药业,15.27,31.44亿,0.098,14.67亿,6.30亿,8.37亿,27.53,42.06,1.37亿,2206.98万,2013.77万,2.58,1.73万,39.03,2.721,1.104
000423,东阿阿胶,30.99,202.7亿,0.096,111.96亿,13.58亿,98.37亿,-,67.56,7.33亿,8531.83万,6164.90万,0.63,6.26万,82.19,6.793,4.869
300158,振东制药,6.98,71.72亿,0.095,75.95亿,18.67亿,57.28亿,59.87,36.84,12.93亿,1.15亿,9762.57万,1.71,38.61万,18.37,2.273,1.708
688575,亚辉龙,44.30,179.4亿,0.093,13.96亿,5.95亿,8.01亿,-,85.46,2.36亿,4332.18万,3766.49万,4.79,3.42万,119.09,1.366,0.810
600479,千金药业,8.31,34.78亿,0.091,42.70亿,14.63亿,28.08亿,0.51,13.61,9.12亿,5359.00万,3791.74万,1.66,3.03万,22.93,2.400,1.973
002412,汉森制药,5.86,29.49亿,0.091,19.21亿,2.85亿,16.37亿,23.79,35.01,2.35亿,5178.60万,4573.15万,2.83,3.36万,16.12,2.096,1.785
