gpdm,gpmc,gplx,zxj,zsz,zsz_d,mgsy,roe,cjl_hand,syl_dynamic,zzc,zzc_d,zfz,zfz_d,gdqyhj,gdqyhj_d,jlrtb,ystbl,zys,zys_d,zlr,zlr_d,jlr,jlr_d,ldbl,sdbl,gsnzjz_jlr,gsnzjz_ys
002500,山西证券,券商,6.38,229.0亿,22900000000.0,0.038,0.80,21.65万,42.42,751.60亿,75160000000.0,576.03亿,57603000000.0,175.57亿,17557000000.0,-38.48,-39.26,5.21亿,521000000.0,1.52亿,152000000.0,1.35亿,135000000.0,,,,
600909,华安证券,券商,5.18,243.3亿,24330000000.0,0.038,1.21,33.29万,34.26,595.60亿,59560000000.0,445.98亿,44598000000.0,149.63亿,14963000000.0,-44.19,-25.19,6.16亿,616000000.0,2.26亿,225999999.99999997,1.78亿,178000000.0,,,,
000563,陕国投Ａ,券商,3.10,122.9亿,12290000000.0,0.044,1.45,18.81万,13.99,159.01亿,15901000000.0,39.33亿,3933000000.0,119.68亿,11968000000.0,-17.86,-14.94,3.48亿,348000000.0,2.31亿,231000000.0,1.73亿,173000000.0,,,,
601198,东兴证券,券商,10.49,289.3亿,28930000000.0,0.090,1.18,16.77万,28.87,883.45亿,88345000000.0,669.80亿,66979999999.99999,213.65亿,21365000000.0,-19.01,0.71,8.86亿,886000000.0,2.87亿,287000000.0,2.50亿,250000000.0,,,,
000750,国海证券,券商,3.98,216.7亿,21670000000.0,0.030,0.94,59.76万,31.13,791.74亿,79174000000.0,599.77亿,59977000000.0,191.97亿,19197000000.0,-42.08,4.01,10.69亿,1069000000.0,2.75亿,275000000.0,1.74亿,174000000.0,,,,
601696,中银证券,券商,15.30,425.0亿,42500000000.0,0.090,1.73,34.22万,40.64,579.03亿,57903000000.0,426.36亿,42636000000.0,152.67亿,15266999999.999998,-19.64,-11.82,7.26亿,726000000.0,3.28亿,328000000.0,2.61亿,261000000.0,,,,
002797,第一创业,券商,6.39,268.5亿,26850000000.0,0.003,0.10,60.95万,487.22,424.82亿,42482000000.0,281.04亿,28104000000.000004,143.78亿,14378000000.0,-94.13,-49.28,3.64亿,364000000.0,-86.09万,-860900.0,1377.87万,13778699.999999998,,,,
600816,ST安信,券商,3.39,185.4亿,18540000000.0,-0.133,-137.40,78.44万,-6.37,195.50亿,19550000000.0,186.77亿,18677000000.0,8.73亿,873000000.0,-,29.23,5866.72万,58667200.0,-7.81亿,-781000000.0,-7.27亿,-727000000.0,,,,
600864,哈投股份,券商,5.72,119.0亿,11900000000.0,-0.050,-0.83,31.82万,-26.77,323.32亿,32332000000.0,190.08亿,19008000000.0,133.24亿,13324000000.0,-174.98,-23.33,7.68亿,768000000.0,-1.51亿,-151000000.0,-1.11亿,-111000000.00000001,2.238,2.228,,
601099,太平洋,券商,3.17,216.1亿,21610000000.0,0.001,0.05,112.99万,1155.60,229.61亿,22961000000.0,132.99亿,13299000000.0,96.62亿,9662000000.0,-95.25,-61.26,1.27亿,127000000.0,814.64万,8146400.0,467.46万,4674600.0,,,,
601162,天风证券,券商,4.36,377.8亿,37780000000.0,0.010,0.51,76.15万,106.18,830.99亿,83099000000.0,606.77亿,60677000000.0,224.22亿,22422000000.0,10.51,-19.36,6.77亿,677000000.0,1.39亿,139000000.0,8895.89万,88958900.0,,,,
601375,XD中原证,券商,4.52,209.9亿,20990000000.0,0.030,0.90,106.35万,43.37,538.29亿,53829000000.0,395.18亿,39518000000.0,143.11亿,14311000000.000002,-,146.45,10.76亿,1076000000.0,1.56亿,156000000.0,1.21亿,121000000.0,,,,
000712,锦龙股份,券商,16.37,146.7亿,14669999999.999998,0.010,0.26,17.03万,418.29,242.10亿,24210000000.0,188.23亿,18823000000.0,53.87亿,5387000000.0,-80.84,-20.97,3.46亿,346000000.0,3026.39万,30263900.0,876.64万,8766400.0,,,,
002670,国盛金控,券商,9.52,184.2亿,18420000000.0,0.015,0.25,31.54万,162.01,310.15亿,31014999999.999996,196.89亿,19689000000.0,113.26亿,11326000000.0,-,-3.73,5.20亿,520000000.0,7091.09万,70910900.0,2842.79万,28427900.0,,,,
