股票代码,股票名称,最新价,总市值,每股收益,总资产,总负债,股东权益合计,净利润同比,营收同比率,总营收,总利润,净利润,净资产收益率-ROE,成交量-手,市盈率-动态,流动比率,速动比率
002536,飞龙股份,8.77,43.91亿,0.148,40.71亿,18.02亿,22.69亿,196.84,38.43,9.07亿,8041.68万,7402.10万,3.41,56.43万,14.83,1.156,0.821
600178,东安动力,8.28,38.26亿,0.146,82.55亿,44.57亿,37.98亿,-,98.15,16.93亿,7360.07万,6738.79万,1.91,14.79万,14.19,1.383,1.227
605319,无锡振华,15.10,30.20亿,0.144,24.20亿,12.26亿,11.94亿,342.69,78.34,3.36亿,3619.95万,2886.00万,2.45,2.48万,26.16,,
300100,双林股份,10.48,42.61亿,0.138,55.90亿,37.68亿,18.23亿,265.28,39.88,10.25亿,7027.30万,5610.03万,3.12,11.92万,18.99,0.952,0.690
600006,东风汽车,9.10,182.0亿,0.137,206.14亿,122.59亿,83.55亿,-,91.88,39.64亿,2.61亿,2.73亿,3.43,159.26万,16.66,1.365,1.103
300432,富临精工,30.00,223.0亿,0.136,32.04亿,10.26亿,21.78亿,22.07,55.20,5.30亿,1.08亿,1.01亿,4.75,39.40万,55.12,2.291,1.832
600081,东风科技,16.06,50.36亿,0.135,74.53亿,52.24亿,22.29亿,-,96.64,17.99亿,8499.45万,4243.01万,2.93,19.39万,29.67,1.085,1.018
300825,阿尔特,33.40,102.1亿,0.132,22.09亿,4.62亿,17.47亿,86.42,38.16,2.02亿,4269.94万,4023.66万,2.70,24.67万,63.43,4.755,3.437
605005,合兴股份,16.18,64.88亿,0.130,16.63亿,3.11亿,13.52亿,142.61,58.56,3.16亿,5793.91万,5037.44万,4.01,2.14万,32.20,,
200030,富奥B,3.34,60.47亿,0.130,150.31亿,65.42亿,84.89亿,84.43,48.79,31.04亿,2.11亿,2.19亿,2.97,759,5.83,1.494,1.302
605088,冠盛股份,14.27,23.68亿,0.130,22.47亿,7.98亿,14.49亿,-17.37,82.43,5.16亿,2455.43万,2046.78万,1.46,8866,28.92,,
002434,万里扬,9.17,122.9亿,0.130,116.01亿,47.41亿,68.60亿,40.60,25.05,13.55亿,1.82亿,1.71亿,2.53,20.57万,18.02,1.134,0.950
300652,雷迪克,17.85,16.79亿,0.130,13.35亿,3.63亿,9.72亿,48.96,37.11,1.14亿,1749.37万,1215.54万,0.97,2.74万,34.54,4.597,3.847
002126,银轮股份,12.32,97.59亿,0.130,105.11亿,59.73亿,45.38亿,13.05,56.84,19.99亿,1.38亿,1.05亿,2.64,30.49万,27.86,1.170,0.960
000589,贵州轮胎,5.45,52.12亿,0.130,125.75亿,66.61亿,59.13亿,195.49,42.94,17.82亿,1.22亿,1.02亿,2.10,8.68万,12.72,1.034,0.913
000030,富奥股份,5.53,100.1亿,0.130,150.31亿,65.42亿,84.89亿,84.43,48.79,31.04亿,2.11亿,2.19亿,2.97,11.27万,11.42,1.494,1.302
600933,爱柯迪,14.20,122.3亿,0.125,59.69亿,13.98亿,45.71亿,10.49,31.16,8.01亿,1.25亿,1.08亿,2.43,3.58万,28.41,4.345,3.629
002101,广东鸿图,7.80,41.34亿,0.122,82.62亿,32.86亿,49.76亿,-,63.15,15.63亿,8883.85万,6474.71万,1.41,4.48万,15.96,1.230,0.926
600327,大东方,6.57,58.13亿,0.122,76.50亿,39.12亿,37.38亿,137.04,59.22,21.47亿,1.36亿,1.08亿,3.11,14.83万,13.47,1.458,0.740
300978,东箭科技,16.46,69.58亿,0.121,18.48亿,4.84亿,13.64亿,72.75,55.76,3.91亿,5994.95万,5122.96万,3.84,2.16万,33.95,3.380,2.923
603997,继峰股份,9.35,99.75亿,0.120,172.49亿,126.60亿,45.88亿,-,14.49,45.33亿,1.77亿,1.28亿,2.99,8.19万,19.48,1.004,0.782
601965,中国汽研,18.88,186.9亿,0.119,68.74亿,15.02亿,53.71亿,90.80,70.84,8.40亿,1.42亿,1.18亿,2.18,17.60万,39.54,2.266,1.884
603178,圣龙股份,11.04,22.19亿,0.119,19.36亿,12.37亿,6.99亿,3577.17,39.21,3.44亿,2417.44万,2401.23万,3.50,6.11万,23.10,0.706,0.482
603009,北特科技,6.68,23.96亿,0.114,32.56亿,16.65亿,15.90亿,-,47.25,8.84亿,4307.92万,4103.49万,2.73,15.59万,29.20,1.205,0.883
000625,长安汽车,18.99,1446亿,0.112,1279.89亿,730.71亿,549.18亿,35.26,176.96,320.27亿,7.90亿,8.54亿,1.58,198.21万,42.36,1.228,1.166
200625,长 安Ｂ,5.29,402.9亿,0.112,1279.89亿,730.71亿,549.18亿,35.26,176.96,320.27亿,7.90亿,8.54亿,1.58,4.57万,9.97,1.228,1.166
301007,德迈仕,17.36,26.62亿,0.111,7.39亿,3.48亿,3.91亿,219.98,36.82,1.26亿,1857.06万,1705.74万,4.46,2.86万,39.02,,
300258,精锻科技,15.06,72.55亿,0.111,43.11亿,12.35亿,30.76亿,70.95,37.15,3.26亿,6294.69万,5255.73万,1.73,12.85万,34.51,1.845,1.546
002448,中原内配,6.20,37.39亿,0.110,49.85亿,19.55亿,30.30亿,67.03,92.73,6.53亿,8269.50万,6586.71万,2.42,12.99万,14.19,1.344,0.964
300680,隆盛科技,25.50,51.47亿,0.105,14.76亿,5.95亿,8.81亿,735.25,140.10,2.01亿,2485.91万,2129.08万,2.57,6.51万,60.44,1.507,1.128
600148,长春一东,12.15,17.19亿,0.103,14.53亿,8.17亿,6.36亿,57.48,59.28,3.56亿,2346.51万,1460.34万,2.99,8043,29.44,1.722,1.276
301039,中集车辆,11.28,227.6亿,0.101,213.13亿,106.52亿,106.61亿,130.16,68.25,68.70亿,2.81亿,2.03亿,2.02,25.10万,28.05,,
600418,江淮汽车,19.45,368.2亿,0.100,474.39亿,333.86亿,140.52亿,-,53.45,117.01亿,1.51亿,1.89亿,1.44,261.38万,48.68,0.991,0.892
300643,万通智控,14.71,33.83亿,0.099,9.52亿,4.74亿,4.78亿,330.46,18.04,2.32亿,2627.39万,2267.32万,4.86,22.51万,37.31,1.547,1.075
603121,华培动力,11.86,31.27亿,0.098,16.72亿,5.28亿,11.45亿,97.29,88.33,2.31亿,3187.67万,2578.89万,2.28,7.69万,30.31,2.311,1.916
300733,西菱动力,22.43,38.44亿,0.097,18.96亿,5.94亿,13.02亿,-,148.41,1.48亿,1594.06万,1657.97万,1.45,7.79万,57.97,1.255,0.903
603166,福达股份,8.43,54.48亿,0.096,34.86亿,11.59亿,23.27亿,110.68,75.37,5.38亿,7335.75万,6217.84万,2.71,12.47万,21.90,1.422,1.026
600166,福田汽车,3.90,256.4亿,0.094,544.08亿,383.66亿,160.42亿,238.77,17.33,319.31亿,5.54亿,6.08亿,3.85,327.50万,21.10,0.715,0.522
