股票代码,股票名称,最新价,成交量-手,市盈率-动态
603298,杭叉集团,19.77,7.42万,19.40
603322,超讯通信,13.77,2.57万,137.37
603327,福蓉科技,15.46,1.25万,21.36
603328,依顿电子,7.70,6.58万,62.14
603496,恒为科技,15.29,1.21万,-38.63
603559,中通国脉,14.00,5.92万,-27.51
603602,纵横通信,10.92,2.87万,-144.43
603618,杭电股份,6.14,9.10万,51.86
603678,火炬电子,80.39,7.00万,35.80
603679,华体科技,16.23,9401,24.13
603703,盛洋科技,11.58,1.81万,83.54
603728,鸣志电器,17.38,4.71万,32.00
603738,泰晶科技,44.60,5.98万,57.84
603773,沃格光电,22.08,1.50万,61.93
603803,瑞斯康达,7.22,6.47万,-115.30
603936,博敏电子,13.46,26.41万,22.51
603991,至正股份,50.19,2.09万,-209.47
605358,立昂微,135.81,5.41万,179.44
688001,华兴源创,41.38,2.59万,160.89
688020,方邦股份,87.88,5903,94.30
688159,有方科技,27.59,1.45万,-26.43
688216,气派科技,62.81,2.44万,82.49
688219,会通股份,19.20,3.37万,78.66
688300,联瑞新材,72.53,8518,42.49
688312,燕麦科技,28.54,1.97万,40.97
688313,仕佳光子,14.75,3.94万,271.32
688418,震有科技,16.44,1.58万,-28.25
688536,思瑞浦,621.60,4248,160.66
688609,九联科技,15.16,9.93万,122.82
688662,富信科技,39.10,1.92万,67.72
688682,霍莱沃,188.09,7557,400.62
688800,瑞可达,95.55,2.68万,140.58
